Sample_ID	Population_ID_1 (as in Reichlab)	Population_ID_2 (PCA)	Population_ID_3 (QPADM)-OLD	Population_ID_4 (QPADM)-NEW	MODEL1	MODEL2		#of ref/sources=10
Amm_Epi_LBA_1	Amm_Epi_LBA_1	Ammotopos_LBA	Ammotopos_LBA	Ammotopos_LBA	TARGET01	TARGET01		Anatolia_BA
Amm_Epi_LBA_2	Amm_Epi_LBA_2	Ammotopos_LBA	Ammotopos_LBA	Ammotopos_LBA	TARGET01	TARGET02		Balkan_EBA-Maros-like
ART001	Turkey_Arslantepe_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				Balkans_BA
ART009	Turkey_Arslantepe_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				Balkans_Yamnaya
ART010	Turkey_Arslantepe_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				Greece_EBA_and_Minoan
ART011	Turkey_Arslantepe_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				Greece_LBA
I14649_in.preparation	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				Italy_Sicily_LN2LBA
I14792	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				Neolithic_EastMed_1
I14794	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				Neolithic_EastMed_2
I14797	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				Thessaly_MBA-like
I14798	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I16580	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I2495	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I2495_noUDG	Turkey_EBA_noUDG	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I2499	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I2499_noUDG	Turkey_EBA_noUDG	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I2683	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I2683_noUDG	Turkey_EBA_noUDG	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I4481	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I4614	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I4615	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I4616	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I4619	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I5733	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I5735	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I5740	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I5741	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I5742	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I5743	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I5744	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I7073	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I7079	Turkey_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
TIT012	Turkey_TitrisHoyuk_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
TIT021	Turkey_TitrisHoyuk_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
TIT025	Turkey_TitrisHoyuk_EBA	Anatolia_EBA	Anatolia_EBA	Anatolia_BA				
I14759	Turkey_MBA	Anatolia_MBA	Anatolia_MBA	Anatolia_BA				
I14761	Turkey_MBA	Anatolia_MBA	Anatolia_MBA	Anatolia_BA				
I14762	Turkey_MBA	Anatolia_MBA	Anatolia_MBA	Anatolia_BA				
I14784	Turkey_MBA	Anatolia_MBA	Anatolia_MBA	Anatolia_BA				
I14786	Turkey_MBA	Anatolia_MBA	Anatolia_MBA	Anatolia_BA				
I14788	Turkey_MBA	Anatolia_MBA	Anatolia_MBA	Anatolia_BA				
ALA001_d	Turkey_Alalakh_MLBA	Anatolia_MLBA	Anatolia_MLBA	Anatolia_BA				
ALA002	Turkey_Alalakh_MLBA	Anatolia_MLBA	Anatolia_MLBA	Anatolia_BA				
ALA004	Turkey_Alalakh_MLBA	Anatolia_MLBA	Anatolia_MLBA	Anatolia_BA				
ALA008	Turkey_Alalakh_MLBA	Anatolia_MLBA	Anatolia_MLBA	Anatolia_BA				
ALA011	Turkey_Alalakh_MLBA	Anatolia_MLBA	Anatolia_MLBA	Anatolia_BA				
ALA013	Turkey_Alalakh_MLBA	Anatolia_MLBA	Anatolia_MLBA	Anatolia_BA				
